ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,322,37.745741366777686,44.935230278924394,3,3
1,323,34.2271494858834,41.703150699260625,3,3
1,324,13.158265817235323,20.184692264293524,3,3
1,325,43.860344837345345,57.24926087156035,4,4
1,326,33.9374930544091,53.036649794164624,4,4
1,327,81.91284546583744,82.40685595895128,5,5
1,328,52.75515168376685,60.10669033188287,3,3
1,329,10.84528575965602,13.348327067971532,3,3
1,330,34.680140402267554,29.820098615342378,3,3
1,331,37.88899796476864,32.831314705701935,3,3
1,332,62.09678140463823,56.25338904377631,3,3
1,333,23.19872327630579,20.863547596177963,3,3
1,334,80.27560196505189,74.58533832266613,3,3
1,335,28.56685691679809,50.59208572998241,4,4
1,336,24.966408980104,48.59995640360083,4,4
1,337,18.837843807020082,48.261271299688225,4,4
1,338,86.39970981220713,81.05438704375811,5,5
1,339,82.01560337326751,79.81038282374078,5,5
1,340,56.4557945425456,64.70107265102168,3,3
1,341,18.64465064326232,28.61043528349792,3,3
1,342,5.642381926610523,17.49900843778807,3,3
1,343,24.672968892063633,23.185500374590266,3,3
1,344,41.45182732838736,52.796231630656735,4,4
1,345,69.14572288977234,nan,4,0
1,346,74.91613745095535,69.92499523905767,3,3
1,347,10.28281075516627,46.20226026834089,4,4
1,348,15.790560888754031,20.518745856304694,3,3
1,349,21.61555928849397,22.61676195358859,3,3
1,350,63.15613594418837,58.65823644414775,3,3
1,351,5.798739496120767,46.724539620488436,4,4
1,352,50.407145483334084,59.65468245737859,3,3
1,353,4.795720607303101,21.88983630586938,3,3
1,354,12.360895494668739,19.81494721143579,3,3
1,355,45.74513409831778,42.87302720666697,3,3
1,356,54.76650543223652,51.42273170053781,3,3
1,357,77.52402678216241,73.04815237484236,3,3
1,358,40.896319866258956,49.89541898863753,4,4
1,359,30.758454366846507,47.137150177398674,4,4
1,360,24.344585788209688,44.64962332198488,4,4
1,361,12.959184995961838,44.30463187904097,4,4
1,362,0.2026192195715753,48.30465476840678,4,4
1,363,35.763949360199945,nan,2,0
1,364,17.644297580764288,30.69741195924919,3,3
1,365,58.67961952849717,55.355861445660906,3,3
1,366,67.005777544413,62.994324879069374,3,3
1,367,56.662987815087874,58.56082896148687,4,4
1,368,45.000176947706635,50.992092577345005,4,4
1,369,8.219638009047056,43.20855097405097,4,4
1,370,38.56937113646488,nan,2,0
1,371,0.908095373517962,21.65733817384027,3,3
1,372,70.79304460181719,67.17813745095158,3,3
1,373,14.476474506793641,41.15949528578511,4,4
1,374,4.101512111481703,44.070999641125496,4,4
1,375,19.914765686574974,24.892480571747868,3,3
1,376,25.50954334157459,28.823295517101023,3,3
1,377,44.0167450471871,42.82042916538475,3,3
1,378,33.14741198963959,43.74859351509932,4,4
1,379,23.44126072270886,37.54437834018532,3,3
1,380,5.592122600426785,25.33715240882932,3,3
1,381,2.341508425415371,22.368202487282844,3,3
1,382,4.901848153710589,21.426109888610586,3,3
1,383,8.701966201788297,22.41757855437439,3,3
1,384,40.59067291015525,47.180502335336875,4,4
1,385,72.15434687034904,72.36378343939046,5,5
1,386,71.66709274504944,73.27389836082662,5,5
1,387,17.0962602942654,25.580836788922745,3,3
1,388,50.36392446160131,48.967078827280076,3,3
1,389,64.65174010900847,62.29404062343534,3,3
1,390,79.03930688995146,75.84285433819494,3,3
1,391,74.48678291137304,69.53153684079311,4,4
1,392,16.326085434115942,32.899803212477245,3,3
1,393,13.369245410743781,24.056812478038175,3,3
1,394,28.39675012695573,39.2887806581849,4,4
1,395,9.903485043775728,39.78555165032007,4,4
1,396,72.6496432700648,78.72592559412847,5,5
1,397,20.633340085338553,36.399319138565914,3,3
1,398,34.08158071615277,36.66724777847232,3,3
1,399,70.92380655703171,68.6326040635015,3,3
